id,title,text,label
1,"NASA James Webb Cosmic Discovery","NASA's James Webb Space Telescope has captured deep-field infrared imagery of a high-redshift galaxy cluster dating back 13.1 billion years, astrophysicists reported in Nature Astronomy. Dr. Elena Vance confirmed spectroscopic calibration verifies early oxygen synthesis.",1
2,"Subterranean Weather Machine Cabal","SHOCKING EXCLUSIVE: Secret global cabal operates subterranean weather control machine to manipulate election outcomes! Mainstream media is covering this up, but a brave whistleblower exposed top-secret blueprint documents. Doctors are stunned and world elites are in panic! Share before banned!",0
3,"Global Climate Summit Protocol","The United Nations climate summit concluded today with accredited delegates from 195 member states ratifying a binding accord on carbon reduction milestones. According to official documentation released by the secretariat, participating nations committed to audited emissions monitoring frameworks.",1
4,"Miracle Household Spice Cure","MIRACLE CURE: Doctors are stunned! This secret common household spice eliminates all terminal diseases overnight without any pharmaceutical medication! Big Pharma is terrified and desperately trying to silence this discovery! Wake up sheeple! 100% guaranteed!",0
5,"Federal Reserve Inflation Report","The Federal Reserve announced interest rate stabilization following the Bureau of Labor Statistics consumer price index release indicating annualized inflation cooled to 2.4 percent. Economists cited supply chain normalization and moderating energy indices.",1
6,"Alien Infiltration Hidden Camera","BREAKING: Celebrity reveals reptilian alien infiltration in hidden camera leak! Viral uncensored video deleted from internet in minutes! They don't want you to see this footage! Share now!",0
7,"WHO Malaria Vaccine Clinical Trial","The World Health Organization confirmed phase three clinical trial efficacy of the R21 malaria vaccine candidate, reaching 78 percent protection among pediatric cohorts across sub-Saharan testing facilities in Ghana and Kenya, published in The Lancet.",1
8,"Secret Antarctica Pyramid Power","Ancient pyramid energy device discovered in Antarctica completely hidden by world leaders! Free unlimited electricity exists but they want you poor! Whistleblower exposes secret documents!",0
9,"Supreme Court Data Privacy Verdict","The Supreme Court delivered a unanimous ruling reinforcing Fourth Amendment digital privacy safeguards, establishing strict warrant prerequisites before commercial data brokers can transfer user geolocation histories to law enforcement agencies.",1
10,"Tap Water Mind Control Chemicals","Shocking hidden truth about common tap water: Mind control chemicals detected by anonymous independent researchers! Stop drinking municipal water immediately! Share before deleted!",0
11,"European Space Agency Euclid Launch","The European Space Agency successfully verified orbital insertion parameters for the Euclid space observatory, commencing its six-year astrophysical mission to map the cosmic geometry and dark energy distribution across the universe.",1
12,"Instant Wealth Loophole Banned","LEAKED: Government planning to ban this secret automated banking loophole tomorrow! Millions of dollars generated overnight by ordinary citizens! Bankers are terrified! Click here immediately!",0
